Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
TargetScan_microRNA_2017,mmu-miR-18b,1/1698,0.7358697119039788,0.7941220494982242,0,0,0.7697617644582877,0.2360876249364324,CREBRF
TargetScan_microRNA_2017,mmu-miR-18a,1/1698,0.7358697119039788,0.7941220494982242,0,0,0.7697617644582877,0.2360876249364324,CREBRF
TargetScan_microRNA_2017,mmu-miR-3077,1/1701,0.7365186417263321,0.7941220494982242,0,0,0.7682773109243698,0.2349551297306458,CREBRF
TargetScan_microRNA_2017,mmu-miR-770-5p,1/1702,0.7367346207443741,0.7941220494982242,0,0,0.7677836566725456,0.2345790457626081,RND1
TargetScan_microRNA_2017,hsa-miR-1278,1/1703,0.7369504346022631,0.7941220494982242,0,0,0.7672905825079738,0.2342036662376542,CREBRF
TargetScan_microRNA_2017,mmu-miR-378b,1/1709,0.7382418537138983,0.7941220494982242,0,0,0.764344262295082,0.2319660958860026,CREBRF
TargetScan_microRNA_2017,mmu-miR-547,1/1711,0.738671010097349,0.7941220494982242,0,0,0.7633667502088555,0.2312258037010384,CREBRF
TargetScan_microRNA_2017,mmu-miR-804,1/1735,0.7437699241978143,0.7941220494982242,0,0,0.7518124897017631,0.2225541898389947,LPXN
TargetScan_microRNA_2017,hsa-miR-4713-3p,1/1736,0.7439803501639433,0.7941220494982242,0,0,0.7513379991766159,0.2222011924294858,TSPAN1
TargetScan_microRNA_2017,mmu-miR-193b,1/1737,0.7441906149010914,0.7941220494982242,0,0,0.7508640552995391,0.2218488477192541,CREBRF
TargetScan_microRNA_2017,mmu-miR-193,1/1737,0.7441906149010914,0.7941220494982242,0,0,0.7508640552995391,0.2218488477192541,CREBRF
TargetScan_microRNA_2017,mmu-miR-3061-3p,1/1740,0.7448204423968171,0.7941220494982242,0,0,0.7494454941263452,0.2207957157830925,SIRT4
TargetScan_microRNA_2017,hsa-miR-3135,1/1743,0.7454488223834607,0.7941220494982242,0,0,0.7480318189273413,0.2197484067023589,TSPAN1
TargetScan_microRNA_2017,mmu-miR-324-5p,1/1744,0.7456579612233378,0.7941220494982242,0,0,0.7475616752725186,0.2194005909723045,INHBE
TargetScan_microRNA_2017,mmu-miR-1298,1/1746,0.7460757578012358,0.7941220494982242,0,0,0.7466230045026606,0.2187068819589944,BIRC3
TargetScan_microRNA_2017,mmu-miR-199b,1/1750,0.7469094302158586,0.7941220494982242,0,0,0.7447521032426693,0.217327113602399,CREBRF
TargetScan_microRNA_2017,mmu-miR-199a-3p,1/1750,0.7469094302158586,0.7941220494982242,0,0,0.7447521032426693,0.217327113602399,CREBRF
TargetScan_microRNA_2017,mmu-miR-362-5p,1/1755,0.7479479282358271,0.7941220494982242,0,0,0.7424254764619644,0.2156166309121177,PLA2G4C
TargetScan_microRNA_2017,hsa-miR-4759,1/1756,0.74815514998322,0.7941220494982242,0,0,0.7419617419617419,0.2152764174675664,CREBRF
TargetScan_microRNA_2017,mmu-miR-1839-5p,1/1759,0.7487758616248772,0.7941220494982242,0,0,0.7405737038842841,0.2142595183860209,CD200R1
TargetScan_microRNA_2017,mmu-miR-323-5p,1/1763,0.7496012562005506,0.7941220494982242,0,0,0.7387303389005999,0.2129123315094202,TSPAN1
TargetScan_microRNA_2017,mmu-miR-707,1/1764,0.7498072090092229,0.7941220494982242,0,0,0.7382708046349566,0.2125770754501206,CD200R1
TargetScan_microRNA_2017,hsa-miR-1244,1/1768,0.750629440171294,0.7941220494982242,0,0,0.7364378688657127,0.2112421734515412,CREBRF
TargetScan_microRNA_2017,hsa-miR-331-5p,1/1775,0.7520622790318143,0.7941220494982242,0,0,0.7332501207923982,0.2089294595131076,DUSP1
TargetScan_microRNA_2017,hsa-miR-190b,1/1779,0.7528775903480316,0.7941220494982242,0,0,0.7314398200224972,0.2076211144173454,CD200R1
