symbol,name,log2FC,baseMean,stat,pvalue,padj,is_ISG,is_proviral,is_antiviral
RNA5SP151,"RNA, 5S ribosomal pseudogene 151",1.1537939394522845,198.1271978737612,3.769668910791479,0.0001634642500098,0.005518490746092,False,False,False
DLGAP5,DLG associated protein 5,-1.1004621093713784,835.8992339067756,-3.768795276956754,0.0001640373558386,0.005518490746092,False,False,False
LIPH,lipase H,2.7950428639406018,46.454732662868615,3.764556834249833,0.0001668447184197,0.0055723172081188,False,False,False
EMP3,epithelial membrane protein 3 (MAM blood group),1.234725265880038,1065.603524479561,3.753032034493669,0.0001747085187714,0.0057775328774791,False,False,False
PELI1,pellino E3 ubiquitin protein ligase 1,-1.1941554800318916,648.3272668741677,-3.749081761469191,0.0001774832203311,0.0058028945629165,False,False,False
DNAJC3,DnaJ heat shock protein family (Hsp40) member C3,1.106499583128636,4793.91855785098,3.748507477866132,0.00017789003467,0.0058030068906208,False,False,False
MBL2,mannose binding lectin 2,-1.2788049844227287,236.09918236189475,-3.735421798050401,0.000187400810989,0.0060312037290573,False,False,False
TAFA4,TAFA chemokine like family member 4,-1.1335724499829916,246.12674853714836,-3.732826814669262,0.0001893427860014,0.0060472953251522,False,False,False
RNF26,ring finger protein 26,-1.020764574993282,1361.3320517751597,-3.733722095001759,0.0001886706691773,0.0060472953251522,False,False,False
EPB41L4B,erythrocyte membrane protein band 4.1 like 4B,-1.1164525454526468,360.53712874306,-3.7325085680392913,0.0001895822460478,0.0060472953251522,False,False,False
ZBED8,zinc finger BED-type containing 8,-1.258250654916364,166.16063099070914,-3.7312379547327934,0.0001905411402595,0.0060510482202508,False,False,False
UPP1,uridine phosphorylase 1,1.0726682980069813,2649.935287332455,3.7287543796450806,0.0001924285976572,0.006097528206822,False,False,False
BTN2A3P,"butyrophilin subfamily 2 member A3, pseudogene",2.151721966807741,59.12923321015519,3.724670842810727,0.0001955702312651,0.0061563968205262,False,False,False
F7,coagulation factor VII,1.1566431835935438,215.44584710639737,3.722790315624066,0.0001970331495483,0.0061889058720575,False,False,False
LRRC8B,leucine rich repeat containing 8 VRAC subunit B,-1.3037963884665404,469.0924111697183,-3.7200417487301847,0.0001991898488997,0.0062430177914414,False,False,False
IGFBP6,insulin like growth factor binding protein 6,1.0163073547842705,235.8277667687286,3.718152883223573,0.0002006848094202,0.0062761992789562,False,False,False
MANEA,mannosidase endo-alpha,-1.0294997733120077,285.82235504316014,-3.71588713972736,0.0002024919589244,0.0062924697351242,False,False,False
VEGFA,vascular endothelial growth factor A,1.2061134467245829,353.9847581215604,3.715190423147444,0.0002030507237431,0.0062954476546747,False,False,False
H3P6,H3 histone pseudogene 6,-1.0350874736837858,249.7849739599688,-3.711599782048433,0.0002059534487936,0.0063444246559855,False,False,False
MZF1,myeloid zinc finger 1,1.3077027098121397,129.50081345886076,3.710360554793435,0.000206964272796,0.0063619402317188,False,False,False
,,1.2591521987594816,175.22256752856643,3.702890476599461,0.000213156920013,0.0065244158538474,False,False,False
LINC01503,long intergenic non-protein coding RNA 1503,1.2915628257653209,208.26074864561687,3.696858084426245,0.0002182842854342,0.0066249741144677,False,False,False
ZNF268,zinc finger protein 268,-1.0812884630035058,539.2881476741898,-3.694480247698962,0.0002203370198222,0.0066731965624473,False,False,False
ENPP7,ectonucleotide pyrophosphatase/phosphodiesterase 7,-2.738698862430609,33.30827297874805,-3.691364015879765,0.0002230546401712,0.0067131047144434,False,False,False
TMEM140,transmembrane protein 140,1.0216381526756986,892.3362794807683,3.687268124281151,0.0002266744830866,0.006793623153508,False,False,False
BIK,BCL2 interacting killer,1.149477198166828,167.0604352301985,3.681318166314524,0.000232031239466,0.0068966971300791,False,False,False
UHRF1,ubiquitin like with PHD and ring finger domains 1,-1.3021307581746768,750.2586224356575,-3.669300987936756,0.0002432145898658,0.0071641449426077,False,False,False
,,-1.1293464264365518,227.89904893577847,-3.6628161752646458,0.0002494575590042,0.0071938430733128,False,False,False
ZNF384,zinc finger protein 384,-1.3252632234383572,119.96199006084524,-3.664843499993484,0.0002474898723399,0.0071938430733128,False,False,False
EPB41L4A-AS1,EPB41L4A antisense RNA 1,1.177895702907144,721.3851167908858,3.6555795778503,0.0002566015925293,0.0073389075748043,False,False,False
CHMP4B,charged multivesicular body protein 4B,1.0756404989571349,226.98285041648316,3.654586722505323,0.0002575965828362,0.0073527469061148,False,False,False
KLF6,KLF transcription factor 6,1.1614741685187708,2812.3208926488514,3.651012339318597,0.0002612086886007,0.0074263798304555,False,False,False
CCDC148,coiled-coil domain containing 148,1.6866865378863751,97.6969873521605,3.6402840902568254,0.0002723373932639,0.0076371261978476,False,False,False
CHUK,component of inhibitor of nuclear factor kappa B kinase complex,-1.1445770380108518,596.615824448133,-3.637880965774556,0.0002748904102911,0.0076787833833953,False,False,False
MIR17HG,miR-17-92a-1 cluster host gene,-1.1500360545631558,246.4009570572097,-3.6363762685767735,0.0002765003624628,0.007693876623578,False,False,False
KIF5C,kinesin family member 5C,1.526042025624421,142.62176784860895,3.63443375598713,0.0002785918244351,0.0077222003590056,False,False,False
CCDC174,coiled-coil domain containing 174,1.0418112796088426,3842.061588181906,3.6320752063484263,0.0002811511520203,0.0077632254759411,False,False,False
DLGAP1-AS1,DLGAP1 antisense RNA 1,1.16176046196812,168.19330000462702,3.629713235310299,0.0002837362587446,0.0078195973530673,False,False,False
PIMREG,PICALM interacting mitotic regulator,-1.0324790663427657,2746.779021647415,-3.62779585627523,0.0002858511326277,0.007846585052631,False,False,False
MR1,"major histocompatibility complex, class I-related",2.0427412005081105,69.32715545625659,3.626514552218179,0.0002872726369233,0.0078568520052827,False,False,False
SNORC,secondary ossification center associated regulator of chondrocyte maturation,1.2172364686767072,418.01854695019904,3.624631717692929,0.0002893735116811,0.0078817869989237,False,False,False
SLC25A24,solute carrier family 25 member 24,-1.0789781847900242,385.5208996127205,-3.621457860247392,0.0002929475278922,0.0078817869989237,False,False,False
DARS1-AS1,DARS1 antisense RNA 1,2.548087472533369,44.29542968337096,3.622839049601557,0.0002913871466869,0.0078817869989237,False,False,False
GALNT6,polypeptide N-acetylgalactosaminyltransferase 6,2.2303008659145225,52.14274464443691,3.6203196168072673,0.0002942393234861,0.0078972516934176,False,False,False
PRSS16,serine protease 16,1.7424204865008377,243.7883815578408,3.6172313233785154,0.0002977711650751,0.007947562116459,False,False,False
LOC100128906,WDR45-like pseudogene,1.1061704307420934,383.6951233916129,3.6144671657110896,0.0003009659534144,0.0079883693834316,False,False,False
E2F5,E2F transcription factor 5,-1.095297837133767,242.3842842981312,-3.606709163633856,0.0003101049034201,0.0081683844082329,False,False,False
ELF3-AS1,ELF3 antisense RNA 1,1.5572511706098744,94.36329280078732,3.5991154405011776,0.0003193014329415,0.0083532842982849,False,False,False
,,2.530668821613432,33.86961496910602,3.598595638022545,0.0003199401952144,0.0083532842982849,False,False,False
LINC01275,long intergenic non-protein coding RNA 1275,1.8531205565913689,47.90350324641198,3.595030919957612,0.0003243530522396,0.008407464882018,False,False,False
CEP126,centrosomal protein 126,1.5670893611540804,76.9635092765376,3.5885735239667307,0.0003324922298281,0.0085001980139024,False,False,False
,,1.658632451749542,106.39738862029984,3.5872299769272207,0.0003342095387667,0.0085096255304408,False,False,False
,,2.1935651929440985,34.23799996253359,3.585157099358045,0.0003368753589605,0.0085623479046058,False,False,False
CATSPER2P1,CATSPER2 pseudogene 1,1.2435994148684246,118.79105278597304,3.582263379158506,0.0003406301080382,0.0085970258495405,False,False,False
MT-TT,tRNA-Thr,1.7340272906803134,76.4172614797458,3.5795075092484065,0.0003442423569116,0.0086427060148874,False,False,False
LRRK1,leucine rich repeat kinase 1,1.5041489026307486,77.72323101738847,3.577415419138203,0.0003470084516201,0.0086818497130554,False,False,False
S100A3,S100 calcium binding protein A3,1.185417516545077,315.6632549437169,3.5708420432830223,0.0003558354459206,0.0088126191015282,False,False,False
MT-TV,tRNA-Val,3.0316682623471176,37.5763004520743,3.568561476018812,0.0003589466361294,0.0088725194284507,False,False,False
SP4,Sp4 transcription factor,-1.063915923203944,563.4101004850334,-3.565601607004047,0.0003630224802024,0.0089425366441643,False,False,False
ZNF845,zinc finger protein 845,-1.0695153270486155,243.63712570797148,-3.56434010551375,0.0003647727304392,0.0089702914531619,False,False,False
CDC42BPB,CDC42 binding protein kinase beta,1.0491735386720586,276.96530488394905,3.561820221061764,0.0003682925507625,0.0090317277908432,False,False,False
BIRC7,baculoviral IAP repeat containing 7,1.2736504660928598,143.34555208775618,3.5569015375954023,0.000375254723923,0.009165389572761,False,False,False
SEC11C,"SEC11 homolog C, signal peptidase complex subunit",1.080154751623491,7183.2643445774565,3.548398154225746,0.0003875818548885,0.0093520741489747,False,False,False
H1-4,"H1.4 linker histone, cluster member",1.3748313818861029,607.3305132797101,3.5496902067036937,0.0003856847301251,0.0093520741489747,False,False,False
