symbol,sample_1,sample_2,value_1,value_2,log2FoldChange,pvalue,sig_flag,padj
CYP1B1,Mock,ZIKV,0.186952,0.122507,-0.609799,1.0,no,1.0
EYS,Mock,ZIKV,0.151252,0.0991502,-0.609271,1.0,no,1.0
TIRAP,Mock,ZIKV,1.59065,1.04281,-0.609141,0.02725,no,0.02725
LDHA,Mock,ZIKV,16.1641,10.5971,-0.609123,5e-05,yes,5e-05
BLOC1S1,Mock,ZIKV,69.1709,45.356,-0.608871,5e-05,yes,5e-05
RLN1,Mock,ZIKV,0.0833273,0.0546464,-0.608664,1.0,no,1.0
PALM2,Mock,ZIKV,0.187731,0.123131,-0.608472,1.0,no,1.0
CENPJ,Mock,ZIKV,8.84084,5.79895,-0.608392,5e-05,yes,5e-05
DDT,Mock,ZIKV,19.0046,12.4658,-0.60838,0.00305,yes,0.00305
C22orf39,Mock,ZIKV,20.3488,13.3476,-0.608362,5e-05,yes,5e-05
TIFA,Mock,ZIKV,1.15777,0.759465,-0.608288,0.0124,yes,0.0124
ENSA,Mock,ZIKV,75.9913,49.854,-0.608124,5e-05,yes,5e-05
SCARNA16,Mock,ZIKV,4.31976,2.83452,-0.607846,0.7546,no,0.7546
LINC00641,Mock,ZIKV,36.1267,23.7073,-0.607734,5e-05,yes,5e-05
C11orf91,Mock,ZIKV,0.260346,0.170848,-0.607717,1.0,no,1.0
PAX6,Mock,ZIKV,70.309,46.1411,-0.607659,5e-05,yes,5e-05
ALG14,Mock,ZIKV,6.03219,3.95873,-0.607643,0.00305,yes,0.00305
UBR7,Mock,ZIKV,15.0321,9.86759,-0.607274,5e-05,yes,5e-05
CCDC103,Mock,ZIKV,2.58021,1.69377,-0.607248,0.0067,yes,0.0067
ARSD,Mock,ZIKV,3.14509,2.06465,-0.607204,5e-05,yes,5e-05
CAMTA1,Mock,ZIKV,41.5131,27.2536,-0.607118,0.00375,yes,0.00375
ZNF497,Mock,ZIKV,6.61936,4.34735,-0.606556,5e-05,yes,5e-05
ADAMTS6,Mock,ZIKV,1.92667,1.26562,-0.606272,5e-05,yes,5e-05
CCM2L,Mock,ZIKV,0.333597,0.219169,-0.606064,1.0,no,1.0
